Date,Open,High,Low,Close,Adj Close,Volume
1/1/1996,0.794921,0.796679,0.791015,0.796679,0.549483,204800
1/2/1996,0.794921,0.798828,0.793457,0.793457,0.54726,204800
1/3/1996,0.798828,0.798828,0.798828,0.798828,0.550965,102400
1/4/1996,0.791015,0.794921,0.791015,0.793554,0.547327,307200
1/5/1996,0.784179,0.784179,0.784179,0.784179,0.540861,51200
1/8/1996,0.784179,0.791015,0.785156,0.789062,0.544229,358400
1/9/1996,0.789062,0.78125,0.771484,0.780273,0.538167,870400
1/10/1996,0.780273,0.77539,0.771484,0.773437,0.533452,358400
1/11/1996,0.779296,0.791015,0.773437,0.791015,0.545576,819200
1/12/1996,0.787109,0.787109,0.78125,0.786621,0.542545,358400
1/15/1996,0.776367,0.785156,0.776367,0.777832,0.536483,307200
1/16/1996,0.777832,0.78125,0.71289,0.78125,0.538841,358400
1/17/1996,0.78125,0.783203,0.771484,0.773828,0.533722,768000
1/18/1996,0.773828,0.776367,0.769531,0.776367,0.535473,204800
1/19/1996,0.771484,0.771484,0.768066,0.768554,0.530084,512000
1/22/1996,0.771484,0.776367,0.771484,0.776367,0.535473,204800
1/23/1996,0.767578,0.78125,0.767578,0.773925,0.533789,665600
1/24/1996,0.773925,0.770507,0.752929,0.770507,0.531431,409600
1/25/1996,0.770996,0.770996,0.767578,0.767578,0.529411,102400
1/26/1996,0.767578,0.767578,0.767578,0.767578,0.529411,0
1/29/1996,0.765625,0.765625,0.763183,0.763183,0.52638,102400
1/30/1996,0.763183,0.77539,0.771484,0.77246,0.532778,1433600
1/31/1996,0.77246,0.78125,0.767578,0.78125,0.538841,460800
2/1/1996,0.78125,0.810546,0.78125,0.810546,0.559047,819200
2/2/1996,0.810546,0.839843,0.810546,0.839746,0.579187,2355200
2/5/1996,0.839746,0.841796,0.82041,0.839843,0.579254,819200
2/6/1996,0.839843,0.883789,0.839843,0.859375,0.592725,1382400
2/7/1996,0.859375,0.84375,0.833984,0.836523,0.576964,972800
2/8/1996,0.849609,0.888671,0.849609,0.888671,0.612931,768000
2/9/1996,0.888671,0.927734,0.830078,0.922558,0.636303,1382400
2/12/1996,0.922558,0.935546,0.908203,0.912109,0.629097,819200
2/13/1996,0.9375,0.957031,0.9375,0.957031,0.66008,2048000
